,sd,sgg,umd,ADM_DR_CD
0,경상남도,사천시,곤명면,3806036
3,경상남도,사천시,곤양면,3806035
6,경상남도,산청군,단성면,3837037
9,경상남도,산청군,오부면,3837032
12,경상남도,하동군,악양면,3836032
15,경상남도,하동군,옥종면,3836042
18,경상남도,하동군,횡천면,3836034
21,경상남도,함양군,병곡면,3838040
24,경상남도,함양군,안의면,3838036
27,경상남도,함양군,함양읍,3838011
30,경상남도,거제시,거제면,3809034
34,경상남도,거제시,장목면,3809039
38,경상남도,거창군,가북면,3839041
42,경상남도,거창군,가조면,3839040
46,경상남도,거창군,거창읍,3839011
50,경상남도,거창군,고제면,3839033
54,경상남도,거창군,남상면,3839037
58,경상남도,거창군,남하면,3839038
62,경상남도,거창군,마리면,3839036
66,경상남도,거창군,북상면,3839034
70,경상남도,거창군,신원면,3839039
74,경상남도,거창군,웅양면,3839032
78,경상남도,거창군,위천면,3839035
82,경상남도,거창군,주상면,3839031
86,경상남도,고성군,개천면,3834038
90,경상남도,고성군,거류면,3834043
94,경상남도,고성군,고성읍,3834011
98,경상남도,고성군,구만면,3834039
102,경상남도,고성군,대가면,3834035
106,경상남도,고성군,동해면,3834042
110,경상남도,고성군,마암면,3834041
114,경상남도,고성군,삼산면,3834031
118,경상남도,고성군,상리면,3834034
122,경상남도,고성군,영오면,3834037
126,경상남도,고성군,영현면,3834036
130,경상남도,고성군,하일면,3834032
134,경상남도,고성군,회화면,3834040
138,경상남도,남해군,고현면,3835037
142,경상남도,남해군,남면,3835035
146,경상남도,남해군,남해읍,3835011
150,경상남도,남해군,삼동면,3835033
154,경상남도,남해군,서면,3835036
158,경상남도,남해군,설천면,3835038
162,경상남도,남해군,이동면,3835031
174,경상남도,사천시,서포면,3806037
178,경상남도,사천시,용현면,3806033
182,경상남도,사천시,정동면,3806031
186,경상남도,산청군,금서면,3837034
194,경상남도,산청군,산청읍,3837011
198,경상남도,산청군,삼장면,3837035
202,경상남도,산청군,생비량면,3837039
206,경상남도,산청군,생초면,3837033
