OBJ_ID,ARA_XCRD,ARA_YCRD,PRRCK_LARG,PRRCK_MDDL,LOCTN_ALTT,LOCTN_GRDN,EIGHT_AGL,CLZN_CD,TPGRP_TPCD,PRDN_FOM_C,SLANT_TYP,SLDPT_TPCD,SCSTX_CD,SLTP_CD,LDMARK_STN,MAP_LABEL
1,280272.57,266104.66,1,11,799.20,21.80,164.80,2,12,03,2,20,02,02,L102,B₂
2,283750.14,265050.01,1,11,534.80,15.70,301.60,2,12,05,2,20,02,02,L102,B₂
3,281027,265427,1,11,663.00,21.70,156.60,2,12,05,2,20,02,02,L102,B₂
4,279833.45,267538.73,1,11,850.30,9.80,129.40,2,12,03,2,20,02,02,L102,B₂
5,280102.57,266674.66,1,11,832.90,18.90,55.80,2,12,03,2,20,02,02,L102,B₂
6,281698.94,265929.61,1,11,700.40,31.00,150.00,2,12,05,2,20,02,02,L102,B₂
7,279718.45,267318.73,1,11,862.70,5.60,293.00,2,,,,,,93,L993,C
8,279813.45,267323.73,1,11,855.30,19.70,190.10,2,12,01,1,10,01,01,L101,B₁
9,279813.45,267323.73,1,11,855.30,19.70,190.10,2,12,01,1,10,01,01,L101,B₁
10,279813.45,267323.73,1,11,855.30,19.70,190.10,2,12,01,1,10,01,01,L101,B₁
11,282520,266321,1,11,689.80,26.80,245.80,2,12,01,1,20,02,01,L101,B₁
12,282483,266990,3,31,581.30,34.30,265.70,2,12,03,2,30,02,02,L102,B₂
13,283140,266025,1,11,592.40,17.20,111.00,2,12,05,2,20,02,02,L102,B₂
14,283140,266025,1,11,592.40,17.20,111.00,2,12,05,2,20,02,02,L102,B₂
15,283140,266025,1,11,592.40,17.20,111.00,2,12,05,2,20,02,02,L102,B₂
16,282488.94,266099.61,1,11,644.10,23.80,69.40,2,12,05,2,20,02,02,L102,B₂
17,279467.57,266134.66,1,11,721.50,25.00,252.20,2,12,01,1,10,01,01,L101,B₁
18,281127.57,265669.66,1,11,755.20,35.50,262.70,2,12,01,1,10,01,01,L101,B₁
19,282948.94,266164.61,1,11,685.60,31.80,163.10,2,12,01,1,10,02,01,L101,B₁
20,280422.57,266559.66,1,11,805.50,27.10,80.50,2,12,01,1,10,01,01,L101,B₁
21,280737.57,265659.66,1,11,778.60,32.80,109.20,2,12,01,1,10,01,01,L101,B₁
22,281323.94,266194.61,1,11,742.00,26.50,255.50,2,12,05,2,20,02,02,L102,B₂
23,281323.94,266194.61,1,11,742.00,26.50,255.50,2,12,05,2,20,02,02,L102,B₂
24,282088.94,266019.61,1,11,696.70,29.70,126.00,2,12,01,1,10,02,01,L101,B₁
25,279682.57,266879.66,1,11,826.10,17.40,249.60,2,12,05,2,20,02,02,L102,B₂
26,281736,267086,1,11,556.70,19.80,328.10,2,12,05,2,20,03,02,L102,B₂
27,279967.57,266944.66,1,11,843.90,23.50,86.80,2,12,01,1,10,01,01,L101,B₁
28,280602.57,266244.66,1,11,788.80,34.50,24.30,2,12,01,1,10,01,01,L101,B₁
29,280412.57,265849.66,1,11,778.10,23.50,249.20,2,12,03,2,20,02,02,L102,B₂
30,277997.25,314557.12,1,11,375.50,28.30,207.00,2,12,01,1,10,02,01,L101,B₁
31,281124.02,316793.57,1,11,388.40,29.40,240.10,2,12,01,1,10,01,01,L101,B₁
32,281089.02,316323.57,1,11,340.70,29.20,267.50,2,12,01,1,10,01,01,L101,B₁
33,280675.66,315843.51,1,11,258.70,29.70,238.20,2,12,05,2,20,01,02,L102,B₂
34,276356.03,312540.27,1,11,305.60,28.20,261.70,2,12,01,1,10,01,01,L101,B₁
35,276561.03,312920.27,1,11,324.90,29.80,42.90,2,12,01,1,10,01,01,L101,B₁
36,277496.03,313510.27,1,11,232.40,23.70,301.90,2,12,05,2,20,01,02,L102,B₂
37,277571.03,313370.27,1,11,226.50,29.70,183.90,2,12,05,2,20,01,02,L102,B₂
38,278421.03,313220.27,1,11,247.60,28.90,135.70,2,12,05,2,20,01,02,L102,B₂
39,276396.03,312320.27,1,11,255.60,32.30,232.30,2,12,05,2,20,01,02,L102,B₂
40,277686.03,311880.27,1,11,206.00,45.50,69.00,2,12,05,2,20,02,02,L102,B₂
41,277559.67,311580.69,1,11,206.00,24.50,243.40,2,12,05,2,20,02,02,L102,B₂
42,276742,309980,1,11,242.20,11.30,325.00,2,12,05,2,20,02,02,L102,B₂
43,276654.67,309470.69,1,11,235.20,29.60,156.00,2,12,05,2,20,02,02,L102,B₂
44,278412.25,315222.12,1,11,334.70,26.10,341.00,2,12,05,2,20,02,02,L102,B₂
45,280180.66,315658.51,1,11,281.70,25.30,171.10,2,12,05,2,20,02,02,L102,B₂
