,STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,ADM_DR_CD,ADM_DR_NM
0,0,0,0,91,,,,,J00091,3701133,장기면
1,0,0,0,91,,,,,J00091,3701133,장기면
2,0,0,0,91,,,,,J00091,,
3,0,0,0,91,,,,,J00091,3701131,대송면
4,0,0,0,91,,,,,J00091,3701111,구룡포읍
5,0,0,0,91,,,,,J00091,3701111,구룡포읍
6,0,0,0,91,,,,,J00091,3701132,동해면
7,0,0,0,91,,,,,J00091,3701113,오천읍
8,0,0,0,91,,,,,J00091,3701113,오천읍
9,0,0,0,91,,,,,J00091,3701133,장기면
10,0,0,0,91,,,,,J00091,3701111,구룡포읍
11,0,0,0,91,,,,,J00091,3701158,효곡동
12,0,0,0,91,,,,,J00091,3701113,오천읍
13,0,0,0,92,,,,,J00092,3701113,오천읍
14,0,0,0,92,,,,,J00092,3701133,장기면
15,0,0,0,92,,,,,J00092,3701133,장기면
16,0,0,0,93,,,,,J00093,3701113,오천읍
17,0,0,0,93,,,,,J00093,3701133,장기면
18,0,0,0,93,,,,,J00093,3701113,오천읍
19,0,0,0,93,,,,,J00093,3701133,장기면
20,0,0,0,93,,,,,J00093,3701133,장기면
21,0,0,0,93,,,,,J00093,3701133,장기면
22,0,0,0,93,,,,,J00093,3701133,장기면
23,0,0,0,93,,,,,J00093,3701133,장기면
24,0,0,0,93,,,,,J00093,3701133,장기면
25,0,0,0,93,,,,,J00093,3701133,장기면
26,0,0,0,93,,,,,J00093,3701133,장기면
27,0,0,0,93,,,,,J00093,3701133,장기면
28,0,0,0,93,,,,,J00093,3701133,장기면
29,0,0,0,93,,,,,J00093,3701113,오천읍
30,0,0,0,93,,,,,J00093,3701133,장기면
31,0,0,0,93,,,,,J00093,3701113,오천읍
32,0,0,0,93,,,,,J00093,3701113,오천읍
33,0,0,0,93,,,,,J00093,3701113,오천읍
34,0,0,0,93,,,,,J00093,3701113,오천읍
35,0,0,0,93,,,,,J00093,3701131,대송면
36,0,0,0,93,,,,,J00093,3701113,오천읍
37,0,0,0,93,,,,,J00093,3701113,오천읍
38,0,0,0,93,,,,,J00093,3701133,장기면
39,0,0,0,93,,,,,J00093,3701133,장기면
40,0,0,0,93,,,,,J00093,3701133,장기면
41,0,0,0,93,,,,,J00093,3701133,장기면
42,0,0,0,93,,,,,J00093,3701133,장기면
43,0,0,0,93,,,,,J00093,3701133,장기면
44,0,0,0,93,,,,,J00093,3701133,장기면
45,0,0,0,93,,,,,J00093,3701133,장기면
46,0,0,0,93,,,,,J00093,3701131,대송면
47,0,0,0,93,,,,,J00093,3701112,연일읍
48,0,0,0,93,,,,,J00093,3701132,동해면
49,0,0,0,93,,,,,J00093,3701113,오천읍
50,0,0,0,93,,,,,J00093,3701132,동해면
51,0,0,0,93,,,,,J00093,,
52,0,0,0,93,,,,,J00093,3701112,연일읍
53,0,0,0,93,,,,,J00093,3701113,오천읍
54,0,0,0,93,,,,,J00093,3701132,동해면
55,0,0,0,93,,,,,J00093,3701112,연일읍
56,0,0,0,93,,,,,J00093,3701157,제철동
